transaction_id,customer_type,product_id,timestamp,day_of_week,hour
1,bulk_shopper,2,2025-07-25 00:29:00.383760,Friday,0
1,bulk_shopper,3,2025-07-25 00:29:00.383760,Friday,0
1,bulk_shopper,4,2025-07-25 00:29:00.383760,Friday,0
1,bulk_shopper,6,2025-07-25 00:29:00.383760,Friday,0
1,bulk_shopper,12,2025-07-25 00:29:00.383760,Friday,0
2,bulk_shopper,6,2025-07-25 13:41:45.383760,Friday,13
3,family_shopper,2,2025-07-13 11:58:38.383760,Sunday,11
3,family_shopper,3,2025-07-13 11:58:38.383760,Sunday,11
3,family_shopper,5,2025-07-13 11:58:38.383760,Sunday,11
3,family_shopper,8,2025-07-13 11:58:38.383760,Sunday,11
3,family_shopper,10,2025-07-13 11:58:38.383760,Sunday,11
3,family_shopper,11,2025-07-13 11:58:38.383760,Sunday,11
3,family_shopper,12,2025-07-13 11:58:38.383760,Sunday,11
3,family_shopper,13,2025-07-13 11:58:38.383760,Sunday,11
3,family_shopper,14,2025-07-13 11:58:38.383760,Sunday,11
4,family_shopper,1,2025-07-30 15:48:43.383760,Wednesday,15
4,family_shopper,2,2025-07-30 15:48:43.383760,Wednesday,15
4,family_shopper,3,2025-07-30 15:48:43.383760,Wednesday,15
4,family_shopper,4,2025-07-30 15:48:43.383760,Wednesday,15
4,family_shopper,10,2025-07-30 15:48:43.383760,Wednesday,15
5,family_shopper,2,2025-07-21 12:47:17.383760,Monday,12
5,family_shopper,3,2025-07-21 12:47:17.383760,Monday,12
5,family_shopper,5,2025-07-21 12:47:17.383760,Monday,12
5,family_shopper,7,2025-07-21 12:47:17.383760,Monday,12
5,family_shopper,8,2025-07-21 12:47:17.383760,Monday,12
5,family_shopper,9,2025-07-21 12:47:17.383760,Monday,12
5,family_shopper,11,2025-07-21 12:47:17.383760,Monday,12
5,family_shopper,14,2025-07-21 12:47:17.383760,Monday,12
6,bulk_shopper,1,2025-07-21 07:01:47.383760,Monday,7
6,bulk_shopper,2,2025-07-21 07:01:47.383760,Monday,7
6,bulk_shopper,3,2025-07-21 07:01:47.383760,Monday,7
6,bulk_shopper,5,2025-07-21 07:01:47.383760,Monday,7
6,bulk_shopper,6,2025-07-21 07:01:47.383760,Monday,7
6,bulk_shopper,9,2025-07-21 07:01:47.383760,Monday,7
6,bulk_shopper,13,2025-07-21 07:01:47.383760,Monday,7
